ts,P2O5,SO4,density,Cl,x,y,SO4_m,SO4_s,average,R(K),R(SO4)
05/04/2024 16:44,16.72,4.45,1.302,28538,52.7,28.1,0.454,0.447,0.521,52.75718663,28.05398036
05/04/2024 07:34,16.85,4.25,1.297,29805,54.9,28.1,0.5,0.419,0.4435,54.66516673,28.13872091
05/04/2024 04:04,16.35,4.15,1.293,29667,54.8,27.5,0.5,0.419,0.4435,54.73315578,27.46802603
04/04/2024 23:34,16.4,4.2,1.294,29606,54.9,27.1,0.5,0.419,0.4435,55.76721263,27.11544656
04/04/2024 20:04,16.3,4.25,1.293,30146,55.1,27.4,0.5,0.419,0.4435,55.79440813,27.41312741
04/04/2024 16:24,16.55,4.35,1.284,29975,58.5,28,0.5,0.419,0.4435,58.56933097,27.95664057
04/04/2024 08:54,16.15,4.15,1.289,31385,56.3,28.4,0.347,0.361,0.4435,56.46355252,28.37729816
03/04/2024 23:34,16.3,4.15,1.294,31259,55.7,27.7,0.347,0.361,0.42125,55.33155468,27.73701763
03/04/2024 21:34,16.4,4.45,1.294,31259,55,27.4,0.347,0.361,0.42125,55.08077766,27.35713291
03/04/2024 11:54,16.45,4.35,1.296,30966,54.8,28.4,0.4,0.41,0.42125,55.03111257,28.43041096
03/04/2024 08:24,16.2,4.3,1.292,30272,55.2,28.3,0.4,0.41,0.42125,55.72176828,28.2899618
03/04/2024 03:44,16.3,4.25,1.284,30255,58.5,27.9,0.4,0.41,0.36725,58.59128069,27.94508009
03/04/2024 00:14,17.2,4.45,1.281,32690,59.3,28.1,0.4,0.41,0.36725,60.97289881,28.0815225
02/04/2024 19:34,16.75,4.1,1.274,31427,61,27.9,0.4,0.41,0.36725,61.98923289,27.91201025
02/04/2024 11:54,15.7,4.15,1.285,32266,57.7,27.5,0.361,0.362,0.36725,57.90696576,27.48560098
02/04/2024 08:34,16,4.05,1.283,29857,58.5,28,0.361,0.362,0.36725,59.08018306,28.04454385
02/04/2024 04:14,16.59,4.21,1.281,29857,58.7,26.9,0.361,0.362,0.405,58.83714014,26.87508762
02/04/2024 00:44,15.7,4.25,1.28,29920,59.1,27.2,0.361,0.362,0.405,59.21183208,27.20851273
01/04/2024 19:34,15.7,4.05,1.28,29023,59.3,28.7,0.361,0.362,0.405,60.08247982,28.72304983
01/04/2024 16:04,15.85,3.9,1.273,28912,60.8,27.6,0.361,0.362,0.405,61.03759001,27.5549806
01/04/2024 08:34,16,4.4,1.272,29413,61.7,26.9,0.414,0.385,0.405,61.64109488,26.93397359
31/03/2024 16:04,16,4.45,1.276,29191,63.5,29,0.414,0.385,0.37475,63.91819521,28.93886156
31/03/2024 11:34,15.7,4.25,1.233,29197,62.1,29.2,0.476,0.434,0.37475,62.23294208,29.14802343
31/03/2024 09:24,15.9,4.3,1.28,29157,60.7,28.6,0.476,0.434,0.37475,60.28662356,28.5924101
30/03/2024 16:04,16.1,4.45,1.246,31916,62.1,29.2,0.476,0.434,0.415,62.19031135,29.17444901
30/03/2024 08:14,16,4.35,1.293,29524,57.4,28.5,0.437,0.403,0.415,57.27222684,29.0195178
30/03/2024 00:04,16.2,4.25,1.287,29373,57.4,28.5,0.437,0.403,0.44525,57.57498977,28.46517544
29/03/2024 21:24,16.17,4.2,1.285,29373,58.2,28,0.437,0.403,0.44525,57.58262405,27.95664057
29/03/2024 12:14,16,4.25,1.281,29059,58.7,28,0.42,0.42,0.44525,58.69741506,28.03158488
29/03/2024 04:04,15.87,4.35,1.28,26242,60,28.3,0.42,0.42,0.42,59.80615377,28.3346636
